lab,subid,subid_unique,trial_order,trial_num,trial_type,stimulus_num,method,age_days,age_mo,age_group,nae,gender,second_session,looking_time,missing
babylabbrookes,mb01,babylabbrookes:mb01,1,1,IDS,1,singlescreen,142,4.6652977412731005,3-6 mo,FALSE,F,FALSE,4.33,FALSE
babylabbrookes,mb02,babylabbrookes:mb02,2,1,ADS,1,singlescreen,154,5.059548254620124,3-6 mo,FALSE,M,FALSE,3.14,FALSE
babylabbrookes,mb03,babylabbrookes:mb03,3,1,IDS,5,singlescreen,214,7.030800821355236,6-9 mo,FALSE,F,FALSE,9.33,FALSE
babylabbrookes,mb04,babylabbrookes:mb04,4,1,ADS,5,singlescreen,271,8.903490759753593,6-9 mo,FALSE,F,FALSE,13.47,FALSE
babylabbrookes,mb100,babylabbrookes:mb100,2,1,ADS,1,singlescreen,419,13.765913757700206,12-15 mo,FALSE,M,FALSE,5.344,FALSE
babylabbrookes,mb101,babylabbrookes:mb101,2,1,ADS,1,singlescreen,180,5.9137577002053385,3-6 mo,FALSE,M,FALSE,10.888,FALSE
babylabbrookes,mb102,babylabbrookes:mb102,3,1,IDS,5,singlescreen,92,3.02258726899384,3-6 mo,FALSE,F,FALSE,13.861,FALSE
babylabbrookes,mb103,babylabbrookes:mb103,2,1,ADS,1,singlescreen,368,12.09034907597536,12-15 mo,FALSE,F,FALSE,14.601,FALSE
babylabbrookes,mb104,babylabbrookes:mb104,4,1,ADS,5,singlescreen,402,13.207392197125257,12-15 mo,FALSE,F,FALSE,9.744,FALSE
babylabbrookes,mb105,babylabbrookes:mb105,4,1,ADS,5,singlescreen,155,5.092402464065708,3-6 mo,FALSE,M,FALSE,17.728,FALSE
babylabbrookes,mb107,babylabbrookes:mb107,4,1,ADS,5,singlescreen,159,5.223819301848049,3-6 mo,FALSE,F,FALSE,7.312,FALSE
babylabbrookes,mb108,babylabbrookes:mb108,2,1,ADS,1,singlescreen,142,4.6652977412731005,3-6 mo,FALSE,M,FALSE,16.448,FALSE
babylabbrookes,mb14,babylabbrookes:mb14,2,1,ADS,1,singlescreen,406,13.338809034907598,12-15 mo,FALSE,M,FALSE,11.26,FALSE
babylabbrookes,mb15,babylabbrookes:mb15,3,1,IDS,5,singlescreen,445,14.620123203285422,12-15 mo,FALSE,M,FALSE,18,FALSE
babylabbrookes,mb16,babylabbrookes:mb16,4,1,ADS,5,singlescreen,140,4.59958932238193,3-6 mo,FALSE,M,FALSE,18,FALSE
babylabbrookes,mb18,babylabbrookes:mb18,2,1,ADS,1,singlescreen,392,12.878850102669405,12-15 mo,FALSE,M,FALSE,5.89,FALSE
babylabbrookes,mb20,babylabbrookes:mb20,4,1,ADS,5,singlescreen,424,13.930184804928132,12-15 mo,FALSE,F,FALSE,11.19,FALSE
babylabbrookes,mb23,babylabbrookes:mb23,3,1,IDS,5,singlescreen,106,3.482546201232033,3-6 mo,FALSE,M,FALSE,4.62,FALSE
babylabbrookes,mb28,babylabbrookes:mb28,1,1,IDS,1,singlescreen,395,12.97741273100616,12-15 mo,FALSE,F,FALSE,13.35,FALSE
