lab,subid,trial_num,trial_error_recoded,trial_error_new,trial_error_change_reason
islnotredame,p38mb21,-2,1,noerror,not excluding for language at trial level
islnotredame,p38mb21,-1,1,noerror,not excluding for language at trial level
islnotredame,p38mb21,1,1,noerror,not excluding for language at trial level
islnotredame,p38mb21,2,1,noerror,not excluding for language at trial level
islnotredame,p38mb21,3,1,noerror,not excluding for language at trial level
islnotredame,p38mb21,4,1,noerror,not excluding for language at trial level
islnotredame,p38mb21,5,1,noerror,not excluding for language at trial level
islnotredame,p38mb21,6,1,noerror,not excluding for language at trial level
islnotredame,p38mb21,7,1,noerror,not excluding for language at trial level
islnotredame,p38mb21,8,1,noerror,not excluding for language at trial level
islnotredame,p38mb21,9,1,noerror,not excluding for language at trial level
islnotredame,p38mb21,10,1,noerror,not excluding for language at trial level
islnotredame,p38mb21,11,1,noerror,not excluding for language at trial level
islnotredame,p38mb21,12,1,noerror,not excluding for language at trial level
islnotredame,p38mb21,13,1,noerror,not excluding for language at trial level
islnotredame,p38mb21,14,1,noerror,not excluding for language at trial level
islnotredame,p38mb21,15,1,noerror,not excluding for language at trial level
islnotredame,p38mb21,16,1,noerror,not excluding for language at trial level
ldlottawa,mbms12,-2,1,noerror,not excluding for age at trial level
ldlottawa,mbms12,-1,1,noerror,not excluding for age at trial level
ldlottawa,mbms12,1,1,noerror,not excluding for age at trial level
ldlottawa,mbms12,2,1,noerror,not excluding for age at trial level
ldlottawa,mbms12,3,1,noerror,not excluding for age at trial level
ldlottawa,mbms12,4,1,noerror,not excluding for age at trial level
