lab,language,language_harmonized,country,language_simple
babylabbrookes,British English,English (UK),UK,English
babylabkingswood,Australian English,English (AUS),Australia,English
babylabkonstanz,German,German,Germany,German
babylablangessex,British English,English (UK),UK,English
babylableiden,Dutch,Dutch,Netherlands,Dutch
babylablmu,German,German,Germany,German
babylabnijmegen,Dutch,Dutch,Netherlands,Dutch
babylabparisdescartes1,French,French,France,French
babylabplymouth,British English,English (UK),UK,English
babylabpotsdam,German,German,Germany,German
babylabprinceton,American English,English (US),US,English
babylabreading,British English,English (UK),UK,English
babylabshimane,Japanese,Japanese,Japan,Japanese
babylabuclajohnson,American English,English (US),US,English
babylabumassb,American English,English (US),US,English
babylabutrecht,Dutch,Dutch,Netherlands,Dutch
babylabvuw,Australian English,English (AUS),Australia,English
babylabyork,British English,English (UK),UK,English
babylingoslo,Norwegian,Norwegian,Norway,Norwegian
baldwinlabuoregon,American English,English (US),US,English
bchdosu,American English,English (US),US,English
bcrlunlv,American English,English (US),US,English
bllumanitoba,Canadian English,English (CAN),Canada,English
bounbcl,Turkish,Turkish,Turkey,Turkish
callab,American English,English (US),US,English
cdcceu,Hungarian,Hungarian,Hungary,Hungarian
cfnuofn,Australian English,English (AUS),Australia,English
childlabmanchester,British English,English (UK),UK,English
chosunbaby,Korean,Korean,Korea,Korean
cogdevlabbyu,American English,English (US),US,English
dcnlabtennessee,American English,English (US),US,English
earlysocogfm,American English,English (US),US,English
escompicbsleipzig,German,German,Germany,German
ethosrennes,French,French,France,French
icclbc,American English,English (US),US,English
ileap,American English,English (US),US,English
infantcoglablouisville,American English,English (US),US,English
infantcogubc,Canadian English,English (CAN),Canada,English
infantlanglabutk,American English,English (US),US,English
infantllmadison,American English,English (US),US,English
infantstudiesubc,Canadian English,English (CAN),Canada,English
irlconcordia,Canadian English,English (CAN),Canada,English
islnotredame,American English,English (US),US,English
isplabmcgill,Canadian French,French (CAN),Canada,French
jmucdl,American English,English (US),US,English
kokuhamburg,German,German,Germany,German
kyotobabylab,Japanese,Japanese,Japan,Japanese
labunam,Mexican Spanish,Spanish (MEX),Mexico,Spanish
lancaster,British English,English (UK),UK,English
langlabucla,American English,English (US),US,English
lcdfsu,American English,English (US),US,English
lcduleeds,British English,English (UK),UK,English
ldlottawa,Canadian English,English (CAN),Canada,English
lllliv,British English,English (UK),UK,English
lppparisdescartes2,French,French,France,French
lscppsl,French,French,France,French
madlabucsd,American English,English (US),US,English
minddevlabbicocca,Italian,Italian,Italy,Italian
musdevutm,Canadian English,English (CAN),Canada,English
pocdnorthwestern,American English,English (US),US,English
purdueinfantspeech,American English,English (US),US,English
socialcogumiami,American English,English (US),US,English
trainorlab,Canadian English,English (CAN),Canada,English
udssaarland,German,German,Germany,German
unlvmusiclab,American English,English (US),US,English
weescienceedinburgh,British English,English (UK),UK,English
weltentdeckerzurich,Swiss German,German (Swiss),Switzerland,German
wsigoettingen,German,German,Germany,German
nusinfantlanguagecentre,Mandarin,Mandarin,Singapore,Mandarin
