lab,subid,trial_type,stimulus,trial_num,looking_time,total_trial_time,trial_error,trial_error_type,notes,,
weescience-edinburgh,MB04,ADS,ADS8,15,5.7,7.7,noerror,NA,brief cry,,
weescience-edinburgh,MB04,IDS,IDS8,16,14.54,18,noerror,NA,NA,,
weescience-edinburgh,MB05,training,train1,-2,5.64,7.64,noerror,NA,wriggly,,
weescience-edinburgh,MB05,training,train2,-1,1.88,3.88,noerror,NA,wriggly,,
weescience-edinburgh,MB05,IDS,IDS1,1,14.12,18,noerror,NA,NA,,
weescience-edinburgh,MB05,ADS,ADS1,2,17.91,18,noerror,NA,NA,,
weescience-edinburgh,MB05,IDS,IDS2,3,17.67,18,noerror,NA,NA,,
weescience-edinburgh,MB05,ADS,ADS2,4,10.71,14.31,noerror,NA,sock fell off,,
weescience-edinburgh,MB05,ADS,ADS3,5,16.21,18,noerror,NA,crying,,
weescience-edinburgh,MB05,IDS,IDS3,6,NC,NC,error,experiment ended early,session cancelled by mother,,
weescience-edinburgh,MB05,IDS,IDS4,7,NC,NC,error,experiment ended early,session cancelled by mother,,
weescience-edinburgh,MB05,ADS,ADS4,8,NC,NC,error,experiment ended early,session cancelled by mother,,
weescience-edinburgh,MB05,ADS,ADS5,9,NC,NC,error,experiment ended early,session cancelled by mother,,
weescience-edinburgh,MB05,IDS,IDS5,10,NC,NC,error,experiment ended early,session cancelled by mother,,
weescience-edinburgh,MB05,ADS,ADS6,11,NC,NC,error,experiment ended early,session cancelled by mother,,
weescience-edinburgh,MB05,IDS,IDS6,12,NC,NC,error,experiment ended early,session cancelled by mother,,
weescience-edinburgh,MB05,IDS,IDS7,13,NC,NC,error,experiment ended early,session cancelled by mother,,
weescience-edinburgh,MB05,ADS,ADS7,14,NC,NC,error,experiment ended early,session cancelled by mother,,
weescience-edinburgh,MB05,ADS,ADS8,15,NC,NC,error,experiment ended early,session cancelled by mother,,
weescience-edinburgh,MB05,IDS,IDS8,16,NC,NC,error,experiment ended early,session cancelled by mother,,
weescience-edinburgh,MB06,training,train2,-2,15.71,18,noerror,NA,NA,,
weescience-edinburgh,MB06,training,train1,-1,16.13,18,noerror,NA,NA,,
weescience-edinburgh,MB06,ADS,ADS1,1,15.99,18,noerror,NA,NA,,
weescience-edinburgh,MB06,IDS,IDS1,2,8.04,17.26,noerror,NA,NA,,
weescience-edinburgh,MB06,ADS,ADS2,3,9.25,12.98,noerror,NA,NA,,
weescience-edinburgh,MB06,IDS,IDS2,4,11.95,16.09,noerror,NA,NA,,
weescience-edinburgh,MB06,IDS,IDS3,5,14.67,18,noerror,NA,NA,,
weescience-edinburgh,MB06,ADS,ADS3,6,5.28,7.28,noerror,NA,NA,,
weescience-edinburgh,MB06,ADS,ADS4,7,10.75,16.2,noerror,NA,NA,,
weescience-edinburgh,MB06,IDS,IDS4,8,13.18,18,noerror,NA,NA,,
weescience-edinburgh,MB06,IDS,IDS5,9,14.96,18,noerror,NA,NA,,
weescience-edinburgh,MB06,ADS,ADS5,10,3.49,12.93,noerror,NA,very excited,,
weescience-edinburgh,MB06,IDS,IDS6,11,16.26,18,noerror,NA,NA,,
weescience-edinburgh,MB06,ADS,ADS6,12,15.5,18,noerror,NA,NA,,
weescience-edinburgh,MB06,ADS,ADS7,13,6.58,16.59,noerror,NA,NA,,
weescience-edinburgh,MB06,IDS,IDS7,14,4.62,6.62,noerror,NA,NA,,
weescience-edinburgh,MB06,IDS,IDS8,15,9.45,13.04,noerror,NA,NA,,
weescience-edinburgh,MB06,ADS,ADS8,16,4.03,6.03,noerror,NA,very excited,,
weescience-edinburgh,MB07,training,train1,-2,13.8,18,noerror,NA,NA,,
weescience-edinburgh,MB07,training,train2,-1,15.79,18,noerror,NA,NA,,
weescience-edinburgh,MB07,IDS,IDS5,1,12.21,18,noerror,NA,NA,,
weescience-edinburgh,MB07,ADS,ADS5,2,14.71,18,noerror,NA,NA,,
weescience-edinburgh,MB07,ADS,ADS7,3,6.65,9.69,noerror,NA,NA,,
weescience-edinburgh,MB07,IDS,IDS7,4,3.53,7.02,noerror,NA,becomes restless,,
weescience-edinburgh,MB07,ADS,ADS1,5,3.14,6.24,noerror,NA,becomes restless,,
weescience-edinburgh,MB07,IDS,IDS1,6,1.26,3.79,noerror,NA,becomes restless,,
weescience-edinburgh,MB07,ADS,ADS3,7,11.81,18,noerror,NA,becomes restless,,
weescience-edinburgh,MB07,IDS,IDS3,8,2.3,4.91,noerror,NA,becomes restless,,
weescience-edinburgh,MB07,ADS,ADS2,9,14.38,18,noerror,NA,NA,,
weescience-edinburgh,MB07,IDS,IDS2,10,14.69,18,noerror,NA,NA,,
weescience-edinburgh,MB07,IDS,IDS4,11,7.05,13.54,noerror,NA,NA,,
weescience-edinburgh,MB07,ADS,ADS4,12,9.22,14.47,noerror,NA,NA,,
weescience-edinburgh,MB07,IDS,IDS6,13,2.87,5.8,noerror,NA,NA,,
weescience-edinburgh,MB07,ADS,ADS6,14,9.77,17.39,noerror,NA,NA,,
weescience-edinburgh,MB07,IDS,IDS8,15,2.22,7.44,noerror,NA,NA,,
weescience-edinburgh,MB07,ADS,ADS8,16,1.38,3.75,noerror,NA,NA,,
weescience-edinburgh,MB09,training,train1,-2,6.79,8.79,noerror,NA,NA,,
weescience-edinburgh,MB09,training,train2,-1,11.96,14.6,noerror,NA,NA,,
weescience-edinburgh,MB09,IDS,IDS1,1,5.64,7.64,noerror,NA,NA,,
weescience-edinburgh,MB09,ADS,ADS1,2,5.38,7.38,noerror,NA,NA,,
weescience-edinburgh,MB09,IDS,IDS2,3,11.63,13.74,noerror,NA,NA,,
weescience-edinburgh,MB09,ADS,ADS2,4,9.63,11.63,noerror,NA,NA,,
weescience-edinburgh,MB09,ADS,ADS3,5,13.17,17.44,noerror,NA,NA,,
weescience-edinburgh,MB09,IDS,IDS3,6,2.61,4.61,noerror,NA,NA,,
weescience-edinburgh,MB09,IDS,IDS4,7,4.36,6.36,noerror,NA,NA,,
weescience-edinburgh,MB09,ADS,ADS4,8,6.23,8.23,noerror,NA,NA,,
weescience-edinburgh,MB09,ADS,ADS5,9,6.6,8.6,noerror,NA,NA,,
weescience-edinburgh,MB09,IDS,IDS5,10,6.62,8.62,noerror,NA,NA,,
weescience-edinburgh,MB09,ADS,ADS6,11,4.26,6.26,noerror,NA,NA,,
weescience-edinburgh,MB09,IDS,IDS6,12,6.38,8.38,noerror,NA,NA,,
weescience-edinburgh,MB09,IDS,IDS7,13,3.62,5.62,noerror,NA,NA,,
weescience-edinburgh,MB09,ADS,ADS7,14,11.87,13.92,noerror,NA,crying,,
weescience-edinburgh,MB09,ADS,ADS8,15,NC,NC,error,experiment ended early,cancelled by mother,,
weescience-edinburgh,MB09,IDS,IDS8,16,NC,NC,error,experiment ended early,cancelled by mother,,
weescience-edinburgh,MB10,training,train2,-2,13.81,15.81,noerror,NA,NA,,
weescience-edinburgh,MB10,training,train1,-1,14.83,18,noerror,NA,NA,,
weescience-edinburgh,MB10,ADS,ADS1,1,18,18,noerror,NA,NA,,
weescience-edinburgh,MB10,IDS,IDS1,2,16.78,18,noerror,NA,NA,,
weescience-edinburgh,MB10,ADS,ADS2,3,18,18,noerror,NA,NA,,
weescience-edinburgh,MB10,IDS,IDS2,4,15.3,17.98,noerror,NA,NA,,
weescience-edinburgh,MB10,IDS,IDS3,5,8.53,10.53,noerror,NA,NA,,
weescience-edinburgh,MB10,ADS,ADS3,6,18,18,noerror,NA,NA,,
weescience-edinburgh,MB10,ADS,ADS4,7,11.5,14.07,noerror,NA,NA,,
weescience-edinburgh,MB10,IDS,IDS4,8,4.43,6.43,noerror,NA,NA,,
weescience-edinburgh,MB10,IDS,IDS5,9,3.54,5.54,noerror,NA,NA,,
weescience-edinburgh,MB10,ADS,ADS5,10,7.78,9.78,noerror,NA,NA,,
weescience-edinburgh,MB10,IDS,IDS6,11,4.47,6.47,noerror,NA,NA,,
weescience-edinburgh,MB10,ADS,ADS6,12,4.11,6.11,noerror,NA,NA,,
weescience-edinburgh,MB10,ADS,ADS7,13,16.4,18,noerror,NA,NA,,
weescience-edinburgh,MB10,IDS,IDS7,14,4.01,6.01,noerror,NA,NA,,
weescience-edinburgh,MB10,IDS,IDS8,15,3.66,5.66,noerror,NA,NA,,
weescience-edinburgh,MB10,ADS,ADS8,16,18,18,noerror,NA,NA,,
weescience-edinburgh,MB12,training,train2,-2,1.54,11.45,noerror,NA,NA,,
weescience-edinburgh,MB12,training,train1,-1,4.71,8.28,noerror,NA,NA,,
weescience-edinburgh,MB12,ADS,ADS5,1,7.7,17.82,noerror,NA,NA,,
weescience-edinburgh,MB12,IDS,IDS5,2,7.19,14.71,noerror,NA,NA,,
weescience-edinburgh,MB12,IDS,IDS7,3,2.71,6.07,noerror,NA,NA,,
weescience-edinburgh,MB12,ADS,ADS7,4,12.93,18,noerror,NA,NA,,
weescience-edinburgh,MB12,IDS,IDS1,5,7.06,12.27,noerror,NA,NA,,
weescience-edinburgh,MB12,ADS,ADS1,6,14.79,18,noerror,NA,NA,,
weescience-edinburgh,MB12,IDS,IDS3,7,12.03,15.58,noerror,NA,NA,,
weescience-edinburgh,MB12,ADS,ADS3,8,2.4,4.9,noerror,NA,NA,,
weescience-edinburgh,MB12,IDS,IDS2,9,6.36,10.67,noerror,NA,NA,,
weescience-edinburgh,MB12,ADS,ADS2,10,5.39,7.89,noerror,NA,NA,,
