lab;subid;trial_type;stimulus;trial_num;total_trial_time;looking_time;trial_error;trial_error_type;notes
weltentdecker-zurich;mb_12569;IDS;IDS8;15;3.94;1.54;noerror;NA;NA
weltentdecker-zurich;mb_12569;ADS;ADS8;16;5.51;0.48;noerror;NA;NA
weltentdecker-zurich;mb_12588;training;train2;-2;13.56;8.78;noerror;NA;NA
weltentdecker-zurich;mb_12588;training;train1;-1;15.11;13.11;noerror;NA;NA
weltentdecker-zurich;mb_12588;ADS;ADS5;1;6.01;3.69;noerror;NA;NA
weltentdecker-zurich;mb_12588;IDS;IDS5;2;5.21;3.01;noerror;NA;NA
weltentdecker-zurich;mb_12588;IDS;IDS7;3;5.70;1.89;noerror;NA;NA
weltentdecker-zurich;mb_12588;ADS;ADS7;4;3.95;0.99;noerror;NA;NA
weltentdecker-zurich;mb_12588;IDS;IDS1;5;2.00;0.00;noerror;NA;NA
weltentdecker-zurich;mb_12588;ADS;ADS1;6;2.00;0.00;noerror;NA;NA
weltentdecker-zurich;mb_12588;IDS;IDS3;7;5.91;2.04;noerror;NA;NA
weltentdecker-zurich;mb_12588;ADS;ADS3;8;5.23;0.36;noerror;NA;NA
weltentdecker-zurich;mb_12588;IDS;IDS2;9;5.76;0.06;noerror;NA;NA
weltentdecker-zurich;mb_12588;ADS;ADS2;10;2.91;0.06;noerror;NA;NA
weltentdecker-zurich;mb_12588;ADS;ADS4;11;2.00;0.00;error;to fussy;NA
weltentdecker-zurich;mb_12588;IDS;IDS4;12;5.79;0.68;noerror;NA;NA
weltentdecker-zurich;mb_12588;ADS;ADS6;13;2.00;0.00;error;to fussy;NA
weltentdecker-zurich;mb_12588;IDS;IDS6;14;2.00;0.00;error;parent intervention;parent points to screen
weltentdecker-zurich;mb_12588;ADS;ADS8;15;2.00;0.00;error;to fussy;NA
weltentdecker-zurich;mb_12588;IDS;IDS8;16;4.14;0.85;noerror;NA;NA
weltentdecker-zurich;mb_12601;training;train2;-2;16.88;14.88;noerror;NA;NA
weltentdecker-zurich;mb_12601;training;train1;-1;7.13;4.57;noerror;NA;NA
weltentdecker-zurich;mb_12601;ADS;ADS1;1;5.85;3.53;noerror;NA;NA
weltentdecker-zurich;mb_12601;IDS;IDS1;2;16.65;9.53;noerror;NA;NA
weltentdecker-zurich;mb_12601;ADS;ADS2;3;10.92;5.07;noerror;NA;NA
weltentdecker-zurich;mb_12601;IDS;IDS2;4;9.74;6.04;noerror;NA;NA
weltentdecker-zurich;mb_12601;IDS;IDS3;5;2.75;0.69;noerror;NA;NA
weltentdecker-zurich;mb_12601;ADS;ADS3;6;2.00;0.00;noerror;NA;NA
weltentdecker-zurich;mb_12601;ADS;ADS4;7;3.99;1.92;noerror;NA;NA
weltentdecker-zurich;mb_12601;IDS;IDS4;8;2.65;0.62;noerror;NA;NA
weltentdecker-zurich;mb_12601;IDS;IDS5;9;5.94;1.26;noerror;NA;NA
weltentdecker-zurich;mb_12601;ADS;ADS5;10;6.10;3.86;noerror;NA;NA
weltentdecker-zurich;mb_12601;IDS;IDS6;11;5.44;1.77;noerror;NA;NA
weltentdecker-zurich;mb_12601;ADS;ADS6;12;2.29;0.27;noerror;NA;NA
weltentdecker-zurich;mb_12601;ADS;ADS7;13;15.06;11.21;noerror;NA;NA
weltentdecker-zurich;mb_12601;IDS;IDS7;14;2.29;0.29;noerror;NA;NA
weltentdecker-zurich;mb_12601;IDS;IDS8;15;2.56;0.41;noerror;NA;NA
weltentdecker-zurich;mb_12601;ADS;ADS8;16;2.00;0.00;noerror;NA;NA
weltentdecker-zurich;mb_12658;training;train2;-2;18.00;17.68;noerror;NA;NA
weltentdecker-zurich;mb_12658;training;train1;-1;18.00;17.69;noerror;NA;NA
weltentdecker-zurich;mb_12658;ADS;ADS1;1;17.75;15.75;noerror;NA;NA
weltentdecker-zurich;mb_12658;IDS;IDS1;2;18.00;17.11;noerror;NA;NA
weltentdecker-zurich;mb_12658;ADS;ADS2;3;18.00;17.44;noerror;NA;NA
weltentdecker-zurich;mb_12658;IDS;IDS2;4;17.07;15.07;noerror;NA;NA
weltentdecker-zurich;mb_12658;IDS;IDS3;5;18.00;17.42;noerror;NA;NA
weltentdecker-zurich;mb_12658;ADS;ADS3;6;18.00;17.58;noerror;NA;NA
weltentdecker-zurich;mb_12658;ADS;ADS4;7;7.68;5.49;noerror;NA;NA
weltentdecker-zurich;mb_12658;IDS;IDS4;8;18.00;17.58;noerror;NA;NA
weltentdecker-zurich;mb_12658;IDS;IDS5;9;7.62;5.17;noerror;NA;NA
weltentdecker-zurich;mb_12658;ADS;ADS5;10;18.00;17.77;noerror;NA;NA
weltentdecker-zurich;mb_12658;IDS;IDS6;11;9.03;4.78;noerror;NA;NA
weltentdecker-zurich;mb_12658;ADS;ADS6;12;4.83;2.75;noerror;NA;NA
weltentdecker-zurich;mb_12658;ADS;ADS7;13;3.80;1.72;noerror;NA;NA
weltentdecker-zurich;mb_12658;IDS;IDS7;14;3.14;1.08;noerror;NA;NA
weltentdecker-zurich;mb_12658;IDS;IDS8;15;17.76;15.76;noerror;NA;NA
weltentdecker-zurich;mb_12658;ADS;ADS8;16;12.86;10.66;noerror;NA;NA
weltentdecker-zurich;mb_12801;training;train1;-2;18.00;17.33;noerror;NA;NA
weltentdecker-zurich;mb_12801;training;train2;-1;15.59;13.59;noerror;NA;NA
weltentdecker-zurich;mb_12801;IDS;IDS1;1;15.09;13.09;noerror;NA;NA
weltentdecker-zurich;mb_12801;ADS;ADS1;2;14.12;12.12;noerror;NA;NA
weltentdecker-zurich;mb_12801;IDS;IDS2;3;15.23;11.18;noerror;NA;NA
weltentdecker-zurich;mb_12801;ADS;ADS2;4;4.11;1.90;noerror;NA;NA
weltentdecker-zurich;mb_12801;ADS;ADS3;5;13.70;9.01;noerror;NA;NA
weltentdecker-zurich;mb_12801;IDS;IDS3;6;16.30;14.30;noerror;NA;NA
weltentdecker-zurich;mb_12801;IDS;IDS4;7;6.50;3.31;noerror;NA;NA
weltentdecker-zurich;mb_12801;ADS;ADS4;8;15.19;13.19;noerror;NA;NA
weltentdecker-zurich;mb_12801;ADS;ADS5;9;9.10;5.13;noerror;NA;NA
weltentdecker-zurich;mb_12801;IDS;IDS5;10;11.56;5.60;noerror;NA;NA
weltentdecker-zurich;mb_12801;ADS;ADS6;11;3.79;1.17;noerror;NA;NA
weltentdecker-zurich;mb_12801;IDS;IDS6;12;3.32;1.24;noerror;NA;NA
weltentdecker-zurich;mb_12801;IDS;IDS7;13;5.13;1.80;noerror;NA;NA
weltentdecker-zurich;mb_12801;ADS;ADS7;14;3.07;0.47;noerror;NA;NA
weltentdecker-zurich;mb_12801;ADS;ADS8;15;2.55;0.46;noerror;NA;NA
weltentdecker-zurich;mb_12801;IDS;IDS8;16;5.65;3.21;noerror;NA;NA
weltentdecker-zurich;mb_12872;training;train1;-2;14.49;11.50;noerror;NA;NA
weltentdecker-zurich;mb_12872;training;train2;-1;18.00;17.07;noerror;NA;NA
weltentdecker-zurich;mb_12872;IDS;IDS1;1;17.62;13.96;noerror;NA;NA
weltentdecker-zurich;mb_12872;ADS;ADS1;2;6.59;4.27;noerror;NA;NA
weltentdecker-zurich;mb_12872;IDS;IDS2;3;10.51;8.08;noerror;NA;NA
weltentdecker-zurich;mb_12872;ADS;ADS2;4;17.71;15.71;noerror;NA;NA
weltentdecker-zurich;mb_12872;ADS;ADS3;5;4.01;1.83;noerror;NA;NA
weltentdecker-zurich;mb_12872;IDS;IDS3;6;8.62;5.08;noerror;NA;NA
weltentdecker-zurich;mb_12872;IDS;IDS4;7;19.07;17.07;noerror;NA;NA
weltentdecker-zurich;mb_12872;ADS;ADS4;8;14.07;9.72;noerror;NA;NA
weltentdecker-zurich;mb_12872;ADS;ADS5;9;7.54;4.93;noerror;NA;NA
weltentdecker-zurich;mb_12872;IDS;IDS5;10;18.00;16.58;noerror;NA;NA
weltentdecker-zurich;mb_12872;ADS;ADS6;11;17.75;15.75;noerror;NA;NA
weltentdecker-zurich;mb_12872;IDS;IDS6;12;6.58;3.86;noerror;NA;NA
weltentdecker-zurich;mb_12872;IDS;IDS7;13;4.35;2.08;noerror;NA;NA
weltentdecker-zurich;mb_12872;ADS;ADS7;14;13.80;11.80;noerror;NA;NA
weltentdecker-zurich;mb_12872;ADS;ADS8;15;18.00;17.11;noerror;NA;NA
