lab,subid,trial_type,stimulus,trial_num,looking_time,total_trial_time,trial_error,trial_error_type,
JMU_CDL,40-010,Training,training1,-1,4.78,18,noerror,NA,
JMU_CDL,40-010,ADS,ADS1,1,3.03,18,noerror,NA,
JMU_CDL,40-010,IDS,IDS1,2,1.13,18,noerror,NA,
JMU_CDL,40-010,ADS,ADS2,3,0.09,6,error,fussy,
JMU_CDL,40-010,IDS,IDS2,4,NC,0,noerror,NA,
JMU_CDL,40-010,IDS,IDS3,5,NC,0,noerror,NA,
JMU_CDL,40-010,ADS,ADS3,6,NC,0,noerror,NA,
JMU_CDL,40-010,ADS,ADS4,7,NC,0,noerror,NA,
JMU_CDL,40-010,IDS,IDS4,8,NC,0,noerror,NA,
JMU_CDL,40-010,IDS,IDS5,9,NC,0,noerror,NA,
JMU_CDL,40-010,ADS,ADS5,10,NC,0,noerror,NA,
JMU_CDL,40-010,IDS,IDS6,11,NC,0,noerror,NA,
JMU_CDL,40-010,ADS,ADS6,12,NC,0,noerror,NA,
JMU_CDL,40-010,ADS,ADS7,13,NC,0,noerror,NA,
JMU_CDL,40-010,IDS,IDS7,14,NC,0,noerror,NA,
JMU_CDL,40-010,IDS,IDS8,15,NC,0,noerror,NA,
JMU_CDL,40-010,ADS,ADS8,16,NC,0,noerror,NA,
JMU_CDL,40-014,Training,training2,-2,5.62,18,noerror,NA,
JMU_CDL,40-014,Training,training1,-1,5.08,18,noerror,NA,
JMU_CDL,40-014,ADS,ADS1,1,8.42,18,noerror,NA,
JMU_CDL,40-014,IDS,IDS1,2,6.33,18,noerror,NA,
JMU_CDL,40-014,ADS,ADS2,3,NC,0,noerror,NA,
JMU_CDL,40-014,IDS,IDS2,4,NC,0,noerror,NA,
JMU_CDL,40-014,IDS,IDS3,5,NC,0,noerror,NA,
JMU_CDL,40-014,ADS,ADS3,6,NC,0,noerror,NA,
JMU_CDL,40-014,ADS,ADS4,7,NC,0,noerror,NA,
JMU_CDL,40-014,IDS,IDS4,8,NC,0,noerror,NA,
JMU_CDL,40-014,IDS,IDS5,9,NC,0,noerror,NA,
JMU_CDL,40-014,ADS,ADS5,10,NC,0,noerror,NA,
JMU_CDL,40-014,IDS,IDS6,11,NC,0,noerror,NA,
JMU_CDL,40-014,ADS,ADS6,12,NC,0,noerror,NA,
JMU_CDL,40-014,ADS,ADS7,13,NC,0,noerror,NA,
JMU_CDL,40-014,IDS,IDS7,14,NC,0,noerror,NA,
JMU_CDL,40-014,IDS,IDS8,15,NC,0,noerror,NA,
JMU_CDL,40-014,ADS,ADS8,16,NC,0,noerror,NA,
JMU_CDL,40-018,Training,training2,-2,6.64,18,noerror,NA,
JMU_CDL,40-018,Training,training 1,-1,1.49,18,noerror,NA,
JMU_CDL,40-018,ADS,ADS1,1,6.04,18,noerror,NA,
JMU_CDL,40-018,IDS,IDS1,2,1.31,18,noerror,NA,
JMU_CDL,40-018,ADS,ADS2,3,3.95,18,noerror,NA,
JMU_CDL,40-018,IDS,IDS2,4,8.94,18,noerror,NA,
JMU_CDL,40-018,IDS,IDS3,5,4.07,18,noerror,NA,
JMU_CDL,40-018,ADS,ADS3,6,NC,0,noerror,NA,
JMU_CDL,40-018,ADS,ADS4,7,NC,0,noerror,NA,
JMU_CDL,40-018,IDS,IDS4,8,NC,0,noerror,NA,
JMU_CDL,40-018,IDS,IDS5,9,NC,0,noerror,NA,
JMU_CDL,40-018,ADS,ADS5,10,NC,0,noerror,NA,
JMU_CDL,40-018,IDS,IDS6,11,NC,0,noerror,NA,
JMU_CDL,40-018,ADS,ADS6,12,NC,0,noerror,NA,
JMU_CDL,40-018,ADS,ADS7,13,NC,0,noerror,NA,
JMU_CDL,40-018,IDS,IDS7,14,NC,0,noerror,NA,
JMU_CDL,40-018,IDS,IDS8,15,NC,0,noerror,NA,
JMU_CDL,40-018,ADS,ADS8,16,NC,0,noerror,NA,
JMU_CDL,40_022,Training,training2,-2,13.02,18,noerror,NA,
JMU_CDL,40_022,Training,training 1,-1,7.14,18,noerror,NA,
JMU_CDL,40_022,ADS,ADS1,1,8.8,18,noerror,NA,
JMU_CDL,40_022,IDS,IDS1,2,15.98,18,noerror,NA,
JMU_CDL,40_022,ADS,ADS2,3,2.95,18,noerror,NA,
JMU_CDL,40_022,IDS,IDS2,4,1.82,18,noerror,NA,
JMU_CDL,40_022,IDS,IDS3,5,NC,0,noerror,NA,
JMU_CDL,40_022,ADS,ADS3,6,NC,0,noerror,NA,
JMU_CDL,40_022,ADS,ADS4,7,NC,0,noerror,NA,
JMU_CDL,40_022,IDS,IDS4,8,NC,0,noerror,NA,
JMU_CDL,40_022,IDS,IDS5,9,NC,0,noerror,NA,
JMU_CDL,40_022,ADS,ADS5,10,NC,0,noerror,NA,
JMU_CDL,40_022,IDS,IDS6,11,NC,0,noerror,NA,
JMU_CDL,40_022,ADS,ADS6,12,NC,0,noerror,NA,
JMU_CDL,40_022,ADS,ADS7,13,NC,0,noerror,NA,
JMU_CDL,40_022,IDS,IDS7,14,NC,0,noerror,NA,
JMU_CDL,40_022,IDS,IDS8,15,NC,0,noerror,NA,
JMU_CDL,40_022,ADS,ADS8,16,NC,0,noerror,NA,
JMU_CDL,40_026,Training,training2,-2,13,18,noerror,NA,
JMU_CDL,40_026,Training,training 1,-1,2.22,18,noerror,NA,
JMU_CDL,40_026,ADS,ADS1,1,1.86,18,noerror,NA,
JMU_CDL,40_026,IDS,IDS1,2,2.72,18,noerror,NA,
JMU_CDL,40_026,ADS,ADS2,3,NC,0,noerror,NA,
JMU_CDL,40_026,IDS,IDS2,4,NC,0,noerror,NA,
JMU_CDL,40_026,IDS,IDS3,5,NC,0,noerror,NA,
JMU_CDL,40_026,ADS,ADS3,6,NC,0,noerror,NA,
JMU_CDL,40_026,ADS,ADS4,7,NC,0,noerror,NA,
JMU_CDL,40_026,IDS,IDS4,8,NC,0,noerror,NA,
JMU_CDL,40_026,IDS,IDS5,9,NC,0,noerror,NA,
JMU_CDL,40_026,ADS,ADS5,10,NC,0,noerror,NA,
JMU_CDL,40_026,IDS,IDS6,11,NC,0,noerror,NA,
JMU_CDL,40_026,ADS,ADS6,12,NC,0,noerror,NA,
JMU_CDL,40_026,ADS,ADS7,13,NC,0,noerror,NA,
JMU_CDL,40_026,IDS,IDS7,14,NC,0,noerror,NA,
JMU_CDL,40_026,IDS,IDS8,15,NC,0,noerror,NA,
JMU_CDL,40_026,ADS,ADS8,16,NC,0,noerror,NA,
JMU_CDL,40_011,Training ,training1,-2,1.85,18,noerror,NA,
JMU_CDL,40_011,Training ,training2,-1,4.3,18,noerror,NA,
JMU_CDL,40_011,IDS,IDS5,1,13.46,18,noerror,NA,
JMU_CDL,40_011,ADS,ADS5,2,4.51,18,noerror,NA,
JMU_CDL,40_011,ADS,ADS7,3,0,7,error,couldn't get data,
JMU_CDL,40_011,IDS,IDS7,4,NC,0,noerror,NA,
JMU_CDL,40_011,ADS,ADS1,5,NC,0,noerror,NA,
JMU_CDL,40_011,IDS,IDS1,6,NC,0,noerror,NA,
JMU_CDL,40_011,ADS,ADS3,7,NC,0,noerror,NA,
JMU_CDL,40_011,IDS,IDS3,8,NC,0,noerror,NA,
JMU_CDL,40_011,ADS,ADS2,9,NC,0,noerror,NA,
JMU_CDL,40_011,IDS,IDS2,10,NC,0,noerror,NA,
JMU_CDL,40_011,IDS,IDS4,11,NC,0,noerror,NA,
JMU_CDL,40_011,ADS,ADS4,12,NC,0,noerror,NA,
JMU_CDL,40_011,IDS,IDS6,13,NC,0,noerror,NA,
JMU_CDL,40_011,ADS,ADS6,14,NC,0,noerror,NA,
JMU_CDL,40_011,IDS,IDS8,15,NC,0,noerror,NA,
JMU_CDL,40_011,ADS,ADS8,16,NC,0,noerror,NA,
JMU_CDL,40_015,Training ,training1,-2,5.12,18,noerror,NA,
JMU_CDL,40_015,Training ,training2,-1,5.47,0,noerror,NA,
JMU_CDL,40_015,IDS,IDS5,1,8.42,0,noerror,NA,
JMU_CDL,40_015,ADS,ADS5,2,5.52,0,noerror,NA,
JMU_CDL,40_015,ADS,ADS7,3,0,6,error,Couldn't get data,
JMU_CDL,40_015,IDS,IDS7,4,NC,0,noerror,NA,
JMU_CDL,40_015,ADS,ADS1,5,NC,0,noerror,NA,
JMU_CDL,40_015,IDS,IDS1,6,NC,0,noerror,NA,
JMU_CDL,40_015,ADS,ADS3,7,NC,0,noerror,NA,
JMU_CDL,40_015,IDS,IDS3,8,NC,0,noerror,NA,
JMU_CDL,40_015,ADS,ADS2,9,NC,0,noerror,NA,
JMU_CDL,40_015,IDS,IDS2,10,NC,0,noerror,NA,
JMU_CDL,40_015,IDS,IDS4,11,NC,0,noerror,NA,
JMU_CDL,40_015,ADS,ADS4,12,NC,0,noerror,NA,
JMU_CDL,40_015,IDS,IDS6,13,NC,0,noerror,NA,
JMU_CDL,40_015,ADS,ADS6,14,NC,0,noerror,NA,
JMU_CDL,40_015,IDS,IDS8,15,NC,0,noerror,NA,
JMU_CDL,40_015,ADS,ADS8,16,NC,0,noerror,NA,
JMU_CDL,40_019,Training ,training1,-2,4.76,18,noerror,NA,
JMU_CDL,40_019,Training ,training2,-1,1.57,18,error,fussy,
JMU_CDL,40_019,IDS,IDS5,1,NC,0,noerror,NA,
JMU_CDL,40_019,ADS,ADS5,2,NC,0,noerror,NA,
JMU_CDL,40_019,ADS,ADS7,3,NC,0,noerror,NA,
JMU_CDL,40_019,IDS,IDS7,4,NC,0,noerror,NA,
JMU_CDL,40_019,ADS,ADS1,5,NC,0,noerror,NA,
JMU_CDL,40_019,IDS,IDS1,6,NC,0,noerror,NA,
JMU_CDL,40_019,ADS,ADS3,7,NC,0,noerror,NA,
JMU_CDL,40_019,IDS,IDS3,8,NC,0,noerror,NA,
JMU_CDL,40_019,ADS,ADS2,9,NC,0,noerror,NA,
JMU_CDL,40_019,IDS,IDS2,10,NC,0,noerror,NA,
JMU_CDL,40_019,IDS,IDS4,11,NC,0,noerror,NA,
JMU_CDL,40_019,ADS,ADS4,12,NC,0,noerror,NA,
JMU_CDL,40_019,IDS,IDS6,13,NC,0,noerror,NA,
JMU_CDL,40_019,ADS,ADS6,14,NC,0,noerror,NA,
JMU_CDL,40_019,IDS,IDS8,15,NC,0,noerror,NA,
JMU_CDL,40_019,ADS,ADS8,16,NC,0,noerror,NA,
JMU_CDL,40_027,Training ,training1,-2,4.87,18,noerror,NA,
JMU_CDL,40_027,Training ,training2,-1,2.11,18,noerror,NA,
JMU_CDL,40_027,IDS,IDS5,1,3.01,18,noerror,NA,
JMU_CDL,40_027,ADS,ADS5,2,0.84,18,noerror,NA,
JMU_CDL,40_027,ADS,ADS7,3,0,18,error,couldn't get data,
JMU_CDL,40_027,IDS,IDS7,4,2.18,18,noerror,NA,
JMU_CDL,40_027,ADS,ADS1,5,2.13,18,noerror,NA,
JMU_CDL,40_027,IDS,IDS1,6,4.49,18,noerror,NA,
JMU_CDL,40_027,ADS,ADS3,7,1.55,18,noerror,NA,
JMU_CDL,40_027,IDS,IDS3,8,1.89,18,noerror,NA,
JMU_CDL,40_027,ADS,ADS2,9,2.17,18,noerror,NA,
JMU_CDL,40_027,IDS,IDS2,10,7.27,,error,video wouldn't replay so don't know how long infant saw trial,
JMU_CDL,40_027,IDS,IDS4,11,NC,0,noerror,NA,
JMU_CDL,40_027,ADS,ADS4,12,NC,0,noerror,NA,
JMU_CDL,40_027,IDS,IDS6,13,NC,0,noerror,NA,
JMU_CDL,40_027,ADS,ADS6,14,NC,0,noerror,NA,
JMU_CDL,40_027,IDS,IDS8,15,NC,0,noerror,NA,
JMU_CDL,40_027,ADS,ADS8,16,NC,0,noerror,NA,
JMU_CDL,40_005,training,training2,-2,6.25,18,noerror,NA,
JMU_CDL,40_005,training,training1,-1,8.25,18,noerror,NA,
JMU_CDL,40_005,ADS,ADS5,1,5.58,18,noerror,NA,
JMU_CDL,40_005,IDS,IDS5,2,5.46,18,noerror,NA,
JMU_CDL,40_005,IDS,IDS7,3,2.14,18,noerror,NA,
JMU_CDL,40_005,ADS,ADS7,4,2.58,18,noerror,NA,
JMU_CDL,40_005,IDS,IDS1,5,2.36,18,noerror,NA,
JMU_CDL,40_005,ADS,ADS1,6,2.56,18,noerror,NA,
JMU_CDL,40_005,IDS,IDS3,7,NC,0,noerror,NA,
JMU_CDL,40_005,ADS,ADS3,8,NC,0,noerror,NA,
JMU_CDL,40_005,IDS,IDS2,9,NC,0,noerror,NA,
JMU_CDL,40_005,ADS,ADS2,10,NC,0,noerror,NA,
JMU_CDL,40_005,ADS,ADS4,11,NC,0,noerror,NA,
JMU_CDL,40_005,IDS,IDS4,12,NC,0,noerror,NA,
JMU_CDL,40_005,ADS,ADS6,13,NC,0,noerror,NA,
JMU_CDL,40_005,IDS,IDS6,14,NC,0,noerror,NA,
JMU_CDL,40_005,ADS,ADS8,15,NC,0,noerror,NA,
JMU_CDL,40_005,IDS,IDS8,16,NC,0,noerror,NA,
JMU_CDL,40_028,training,training2,-2,10.43,18,noerror,NA,
JMU_CDL,40_028,training,training1,-1,11.32,18,noerror,NA,
JMU_CDL,40_028,ADS,ADS5,1,6.53,18,noerror,NA,
JMU_CDL,40_028,IDS,IDS5,2,8.94,18,noerror,NA,
JMU_CDL,40_028,IDS,IDS7,3,9.22,18,noerror,NA,
JMU_CDL,40_028,ADS,ADS7,4,5.94,7,noerror,NA,
JMU_CDL,40_028,IDS,IDS1,5,NC,0,noerror,NA,
JMU_CDL,40_028,ADS,ADS1,6,NC,0,noerror,NA,
JMU_CDL,40_028,IDS,IDS3,7,NC,0,noerror,NA,
JMU_CDL,40_028,ADS,ADS3,8,NC,0,noerror,NA,
JMU_CDL,40_028,IDS,IDS2,9,NC,0,noerror,NA,
JMU_CDL,40_028,ADS,ADS2,10,NC,0,noerror,NA,
JMU_CDL,40_028,ADS,ADS4,11,NC,0,noerror,NA,
JMU_CDL,40_028,IDS,IDS4,12,NC,0,noerror,NA,
JMU_CDL,40_028,ADS,ADS6,13,NC,0,noerror,NA,
JMU_CDL,40_028,IDS,IDS6,14,NC,0,noerror,NA,
JMU_CDL,40_028,ADS,ADS8,15,NC,0,noerror,NA,
JMU_CDL,40_028,IDS,IDS8,16,NC,0,noerror,NA,
JMU_CDL,40_024,training,training2,-2,10.35,18,noerror,NA,
JMU_CDL,40_024,training,training1,-1,7.46,18,noerror,NA,
JMU_CDL,40_024,ADS,ADS5,1,8.28,18,noerror,NA,
JMU_CDL,40_024,IDS,IDS5,2,2.1,18,noerror,NA,
JMU_CDL,40_024,IDS,IDS7,3,NC,0,noerror,NA,
JMU_CDL,40_024,ADS,ADS7,4,NC,0,noerror,NA,
JMU_CDL,40_024,IDS,IDS1,5,NC,0,noerror,NA,
JMU_CDL,40_024,ADS,ADS1,6,NC,0,noerror,NA,
JMU_CDL,40_024,IDS,IDS3,7,NC,0,noerror,NA,
JMU_CDL,40_024,ADS,ADS3,8,NC,0,noerror,NA,
JMU_CDL,40_024,IDS,IDS2,9,NC,0,noerror,NA,
JMU_CDL,40_024,ADS,ADS2,10,NC,0,noerror,NA,
JMU_CDL,40_024,ADS,ADS4,11,NC,0,noerror,NA,
JMU_CDL,40_024,IDS,IDS4,12,NC,0,noerror,NA,
JMU_CDL,40_024,ADS,ADS6,13,NC,0,noerror,NA,
JMU_CDL,40_024,IDS,IDS6,14,NC,0,noerror,NA,
JMU_CDL,40_024,ADS,ADS8,15,NC,0,noerror,NA,
JMU_CDL,40_024,IDS,IDS8,16,NC,0,noerror,NA,
JMU_CDL,40_032,training,training2,-2,5.24,18,noerror,NA,
JMU_CDL,40_032,training,training1,-1,7.44,18,noerror,NA,
JMU_CDL,40_032,ADS,ADS5,1,8.03,18,noerror,NA,
JMU_CDL,40_032,IDS,IDS5,2,3.52,18,noerror,NA,
JMU_CDL,40_032,IDS,IDS7,3,4.27,18,noerror,NA,
JMU_CDL,40_032,ADS,ADS7,4,6.05,18,noerror,NA,
JMU_CDL,40_032,IDS,IDS1,5,7.03,18,noerror,NA,
JMU_CDL,40_032,ADS,ADS1,6,2.46,18,noerror,NA,
JMU_CDL,40_032,IDS,IDS3,7,3.68,18,noerror,NA,
JMU_CDL,40_032,ADS,ADS3,8,1.2,18,noerror,NA,
JMU_CDL,40_032,IDS,IDS2,9,1.18,7,noerror,NA,
JMU_CDL,40_032,ADS,ADS2,10,NC,0,noerror,NA,
JMU_CDL,40_032,ADS,ADS4,11,NC,0,noerror,NA,
JMU_CDL,40_032,IDS,IDS4,12,NC,0,noerror,NA,
JMU_CDL,40_032,ADS,ADS6,13,NC,0,noerror,NA,
JMU_CDL,40_032,IDS,IDS6,14,NC,0,noerror,NA,
JMU_CDL,40_032,ADS,ADS8,15,NC,0,noerror,NA,
JMU_CDL,40_032,IDS,IDS8,16,NC,0,noerror,NA,
