lab,subid,trial_type,stimulus,trial_num,looking_time,total_trial_time,trial_error,trial_error_type,
JMU_CDL,40-013,Training,training1,-2,1.68,18,noerror,NA,
JMU_CDL,40-013,Training,training2,-1,0.58,18,noerror,NA,
JMU_CDL,40-013,IDS,IDS1,1,3.7,18,noerror,NA,
JMU_CDL,40-013,ADS,ADS1,2,2.79,18,noerror,NA,
JMU_CDL,40-013,IDS,IDS2,3,2.07,18,noerror,NA,
JMU_CDL,40-013,ADS,ADS2,4,NC,0,noerror,NA,
JMU_CDL,40-013,ADS,ADS3,5,NC,0,noerror,NA,
JMU_CDL,40-013,IDS,IDS3,6,NC,0,noerror,NA,
JMU_CDL,40-013,IDS,IDS4,7,NC,0,noerror,NA,
JMU_CDL,40-013,ADS,ADS4,8,NC,0,noerror,NA,
JMU_CDL,40-013,ADS,ADS5,9,NC,0,noerror,NA,
JMU_CDL,40-013,IDS,IDS5,10,NC,0,noerror,NA,
JMU_CDL,40-013,ADS,ADS6,11,NC,0,noerror,NA,
JMU_CDL,40-013,IDS,IDS6,12,NC,0,noerror,NA,
JMU_CDL,40-013,IDS,IDS7,13,NC,0,noerror,NA,
JMU_CDL,40-013,ADS,ADS7,14,NC,0,noerror,NA,
JMU_CDL,40-013,ADS,ADS8,15,NC,0,noerror,NA,
JMU_CDL,40-013,IDS,IDS8,16,NC,0,noerror,NA,
JMU_CDL,40-017,Training,training1,-2,0,18,error,out of frame,
JMU_CDL,40-017,Training,training2,-1,0,18,error,out of frame,
JMU_CDL,40-017,IDS,IDS1,1,0,18,error,out of frame,
JMU_CDL,40-017,ADS,ADS1,2,0,18,error,out of frame,
JMU_CDL,40-017,IDS,IDS2,3,0,18,error,out of frame,
JMU_CDL,40-017,ADS,ADS2,4,0,18,error,out of frame,
JMU_CDL,40-017,ADS,ADS3,5,NC,0,noerror,NA,
JMU_CDL,40-017,IDS,IDS3,6,NC,0,noerror,NA,
JMU_CDL,40-017,IDS,IDS4,7,NC,0,noerror,NA,
JMU_CDL,40-017,ADS,ADS4,8,NC,0,noerror,NA,
JMU_CDL,40-017,ADS,ADS5,9,NC,0,noerror,NA,
JMU_CDL,40-017,IDS,IDS5,10,NC,0,noerror,NA,
JMU_CDL,40-017,ADS,ADS6,11,NC,0,noerror,NA,
JMU_CDL,40-017,IDS,IDS6,12,NC,0,noerror,NA,
JMU_CDL,40-017,IDS,IDS7,13,NC,0,noerror,NA,
JMU_CDL,40-017,ADS,ADS7,14,NC,0,noerror,NA,
JMU_CDL,40-017,ADS,ADS8,15,NC,0,noerror,NA,
JMU_CDL,40-017,IDS,IDS8,16,NC,0,noerror,NA,
JMU_CDL,40-001,Training,training1,-2,0,18,error,wiggly,looked at mom
JMU_CDL,40-001,Training,training2,-1,0,18,error,wiggly,out of frame
JMU_CDL,40-001,IDS,IDS1,1,0,18,error,wiggly,out of frame
JMU_CDL,40-001,ADS,ADS1,2,0.43,18,error,wiggly,out of frame
JMU_CDL,40-001,IDS,IDS2,3,0,18,error,wiggly,out of frame
JMU_CDL,40-001,ADS,ADS2,4,0,18,error,wiggly,out of frame
JMU_CDL,40-001,ADS,ADS3,5,NC,0,noerror,NA,
JMU_CDL,40-001,IDS,IDS3,6,NC,0,noerror,NA,
JMU_CDL,40-001,IDS,IDS4,7,NC,0,noerror,NA,
JMU_CDL,40-001,ADS,ADS4,8,NC,0,noerror,NA,
JMU_CDL,40-001,ADS,ADS5,9,NC,0,noerror,NA,
JMU_CDL,40-001,IDS,IDS5,10,NC,0,noerror,NA,
JMU_CDL,40-001,ADS,ADS6,11,NC,0,noerror,NA,
JMU_CDL,40-001,IDS,IDS6,12,NC,0,noerror,NA,
JMU_CDL,40-001,IDS,IDS7,13,NC,0,noerror,NA,
JMU_CDL,40-001,ADS,ADS7,14,NC,0,noerror,NA,
JMU_CDL,40-001,ADS,ADS8,15,NC,0,noerror,NA,
JMU_CDL,40-001,IDS,IDS8,16,NC,0,noerror,NA,
JMU_CDL,40-010,Training,training2,-2,4.3,18,noerror,NA,
