lab,subid,trial_type,stimulus,trial_num,looking_time,total_trial_time,trial_error,trial_error_type,notes,,
babylab-princeton,ManyBabies001,training,train1,-3,0.08,2.086,noerror,NA,,,
babylab-princeton,ManyBabies001,training,train2,-2,6.497,8.504,noerror,NA,,,
babylab-princeton,ManyBabies001,training,train1,-1,8.316,11.291,noerror,NA,,,
babylab-princeton,ManyBabies001,IDS,IDS1,1,11.798,14.951,noerror,NA,,,
babylab-princeton,ManyBabies001,ADS,ADS1,2,3.828,6.419,noerror,NA,,,
babylab-princeton,ManyBabies001,IDS,IDS2,3,5.632,8.834,noerror,NA,,,
babylab-princeton,ManyBabies001,ADS,ADS2,4,1.706,3.726,noerror,NA,,,
babylab-princeton,ManyBabies001,ADS,ADS3,5,1.775,6.222,noerror,NA,,,
babylab-princeton,ManyBabies001,IDS,IDS3,6,3.723,7.591,noerror,NA,,,
babylab-princeton,ManyBabies001,IDS,IDS4,7,1.023,3.046,noerror,NA,,,
babylab-princeton,ManyBabies001,ADS,ADS4,8,1.167,3.175,noerror,NA,,,
babylab-princeton,ManyBabies001,ADS,ADS5,9,0.909,2.932,noerror,NA,,,
babylab-princeton,ManyBabies001,IDS,IDS5,10,0.931,2.937,noerror,NA,,,
babylab-princeton,ManyBabies001,ADS,ADS6,11,7.438,11.516,noerror,NA,,,
babylab-princeton,ManyBabies001,IDS,IDS6,12,1.305,3.323,noerror,NA,,,
babylab-princeton,ManyBabies001,IDS,IDS7,13,6.531,8.548,noerror,NA,,,
babylab-princeton,ManyBabies001,ADS,ADS7,14,9.268,15.945,noerror,NA,,,
babylab-princeton,ManyBabies001,ADS,ADS8,15,5.677,9.495,noerror,NA,,,
babylab-princeton,ManyBabies001,IDS,IDS8,16,1.366,3.381,noerror,NA,,,
babylab-princeton,ManyBabies002,training,train2,-2,14.002,16.73,noerror,NA,,,
babylab-princeton,ManyBabies002,training,train1,-1,8.828,10.846,noerror,NA,,,
babylab-princeton,ManyBabies002,ADS,ADS1,1,12.832,18.038,noerror,NA,,,
babylab-princeton,ManyBabies002,IDS,IDS1,2,13.768,16.662,noerror,NA,,,
babylab-princeton,ManyBabies002,ADS,ADS2,3,3.87,5.883,noerror,NA,,,
babylab-princeton,ManyBabies002,IDS,IDS2,4,15.333,18.021,noerror,NA,,,
babylab-princeton,ManyBabies002,IDS,IDS3,5,7.118,10.218,noerror,NA,,,
babylab-princeton,ManyBabies002,ADS,ADS3,6,6.262,10.478,noerror,NA,,,
babylab-princeton,ManyBabies002,ADS,ADS4,7,2.112,4.129,noerror,NA,,,
babylab-princeton,ManyBabies002,IDS,IDS4,8,2.584,4.594,noerror,NA,,,
babylab-princeton,ManyBabies002,IDS,IDS5,9,0.974,2.987,noerror,NA,,,
babylab-princeton,ManyBabies002,ADS,ADS5,10,5.102,11.054,noerror,NA,,,
babylab-princeton,ManyBabies002,IDS,IDS6,11,4.502,8.76,noerror,NA,,,
babylab-princeton,ManyBabies002,ADS,ADS6,12,2.953,5.294,noerror,NA,,,
babylab-princeton,ManyBabies002,ADS,ADS7,13,5.417,10.197,noerror,NA,,,
babylab-princeton,ManyBabies002,IDS,IDS7,14,1.132,3.139,noerror,NA,,,
babylab-princeton,ManyBabies002,IDS,IDS8,15,2.51,4.532,noerror,NA,,,
babylab-princeton,ManyBabies002,ADS,ADS8,16,2.052,4.062,noerror,NA,,,
babylab-princeton,ManyBabies003,training,train1,-2,14.447,17.317,noerror,NA,,,
babylab-princeton,ManyBabies003,training,train2,-1,17.118,18.01,noerror,NA,,,
babylab-princeton,ManyBabies003,IDS,IDS5,1,16.097,18.033,noerror,NA,,,
babylab-princeton,ManyBabies003,ADS,ADS5,2,7.482,11.32,noerror,NA,,,
babylab-princeton,ManyBabies003,ADS,ADS7,3,6.77,9.332,noerror,NA,,,
babylab-princeton,ManyBabies003,IDS,IDS7,4,15.391,18.013,noerror,NA,,,
babylab-princeton,ManyBabies003,ADS,ADS1,5,4.047,6.538,noerror,NA,,,
babylab-princeton,ManyBabies003,IDS,IDS1,6,3.544,6.513,noerror,NA,,,
babylab-princeton,ManyBabies003,ADS,ADS3,7,4.599,7.63,noerror,NA,,,
babylab-princeton,ManyBabies003,IDS,IDS3,8,3.08,5.817,noerror,NA,,,
babylab-princeton,ManyBabies003,ADS,ADS2,9,3.52,5.542,noerror,NA,,,
babylab-princeton,ManyBabies003,IDS,IDS2,10,6.025,8.046,noerror,NA,,,
babylab-princeton,ManyBabies003,IDS,IDS4,11,6.741,10.865,noerror,NA,,,
babylab-princeton,ManyBabies003,ADS,ADS4,12,2.581,4.591,noerror,NA,,,
babylab-princeton,ManyBabies003,IDS,IDS6,13,11.728,15.071,noerror,NA,,,
babylab-princeton,ManyBabies003,ADS,ADS6,14,4.342,6.363,noerror,NA,,,
babylab-princeton,ManyBabies003,IDS,IDS8,15,3.905,5.927,noerror,NA,,,
babylab-princeton,ManyBabies003,ADS,ADS8,16,5.216,7.229,noerror,NA,,,
babylab-princeton,ManyBabies004,training,train2,-2,9.423,11.434,noerror,NA,,,
babylab-princeton,ManyBabies004,training,train1,-1,8.368,10.387,noerror,NA,,,
babylab-princeton,ManyBabies004,ADS,ADS5,1,14.464,18.017,noerror,NA,,,
babylab-princeton,ManyBabies004,IDS,IDS5,2,9.093,11.11,noerror,NA,,,
babylab-princeton,ManyBabies004,IDS,IDS7,3,3.895,5.916,noerror,NA,,,
babylab-princeton,ManyBabies004,ADS,ADS7,4,1.839,3.849,noerror,NA,,,
babylab-princeton,ManyBabies004,IDS,IDS1,5,5.457,7.476,noerror,NA,,,
babylab-princeton,ManyBabies004,ADS,ADS1,6,6.874,8.884,noerror,NA,,,
babylab-princeton,ManyBabies004,IDS,IDS3,7,9.199,11.22,noerror,NA,,,
babylab-princeton,ManyBabies004,ADS,ADS3,8,4.336,8.114,noerror,NA,,,
babylab-princeton,ManyBabies004,IDS,IDS2,9,2.328,4.345,noerror,NA,,,
babylab-princeton,ManyBabies004,ADS,ADS2,10,9.043,12.63,noerror,NA,,,
babylab-princeton,ManyBabies004,ADS,ADS4,11,1.71,3.728,noerror,NA,,,
babylab-princeton,ManyBabies004,IDS,IDS4,12,NC,NC,error,experiment ended early,,,
babylab-princeton,ManyBabies004,ADS,ADS6,13,NC,NC,error,experiment ended early,,,
babylab-princeton,ManyBabies004,IDS,IDS6,14,NC,NC,error,experiment ended early,,,
babylab-princeton,ManyBabies004,ADS,ADS8,15,NC,NC,error,experiment ended early,,,
babylab-princeton,ManyBabies004,IDS,IDS8,16,NC,NC,error,experiment ended early,,,
babylab-princeton,ManyBabies005,training,train1,-2,NC,NC,error,experiment ended early,,,
babylab-princeton,ManyBabies005,training,train2,-1,NC,NC,error,experiment ended early,,,
babylab-princeton,ManyBabies005,IDS,IDS1,1,NC,NC,error,experiment ended early,,,
babylab-princeton,ManyBabies005,ADS,ADS1,2,NC,NC,error,experiment ended early,,,
babylab-princeton,ManyBabies005,IDS,IDS2,3,NC,NC,error,experiment ended early,,,
babylab-princeton,ManyBabies005,ADS,ADS2,4,NC,NC,error,experiment ended early,,,
babylab-princeton,ManyBabies005,ADS,ADS3,5,NC,NC,error,experiment ended early,,,
babylab-princeton,ManyBabies005,IDS,IDS3,6,NC,NC,error,experiment ended early,,,
babylab-princeton,ManyBabies005,IDS,IDS4,7,NC,NC,error,experiment ended early,,,
babylab-princeton,ManyBabies005,ADS,ADS4,8,NC,NC,error,experiment ended early,,,
babylab-princeton,ManyBabies005,ADS,ADS5,9,NC,NC,error,experiment ended early,,,
babylab-princeton,ManyBabies005,IDS,IDS5,10,NC,NC,error,experiment ended early,,,
babylab-princeton,ManyBabies005,ADS,ADS6,11,NC,NC,error,experiment ended early,,,
babylab-princeton,ManyBabies005,IDS,IDS6,12,NC,NC,error,experiment ended early,,,
babylab-princeton,ManyBabies005,IDS,IDS7,13,NC,NC,error,experiment ended early,,,
babylab-princeton,ManyBabies005,ADS,ADS7,14,NC,NC,error,experiment ended early,,,
babylab-princeton,ManyBabies005,ADS,ADS8,15,NC,NC,error,experiment ended early,,,
babylab-princeton,ManyBabies005,IDS,IDS8,16,NC,NC,error,experiment ended early,,,
babylab-princeton,ManyBabies006,training,train2,-2,15.369,17.338,noerror,NA,,,
babylab-princeton,ManyBabies006,training,train1,-1,3.932,5.947,noerror,NA,,,
babylab-princeton,ManyBabies006,ADS,ADS1,1,14.131,16.811,noerror,NA,,,
babylab-princeton,ManyBabies006,IDS,IDS1,2,6.727,11.635,noerror,NA,,,
babylab-princeton,ManyBabies006,ADS,ADS2,3,7.448,14.049,noerror,NA,,,
babylab-princeton,ManyBabies006,IDS,IDS2,4,12.216,16.091,noerror,NA,,,
babylab-princeton,ManyBabies006,IDS,IDS3,5,8.161,14.011,error,experimentor error,,,
babylab-princeton,ManyBabies006,ADS,ADS3,6,9.722,15.572,noerror,NA,,,
babylab-princeton,ManyBabies006,ADS,ADS4,7,3.072,6.634,noerror,NA,,,
babylab-princeton,ManyBabies006,IDS,IDS4,8,3.335,6.298,noerror,NA,,,
babylab-princeton,ManyBabies006,IDS,IDS5,9,1.436,3.444,noerror,NA,,,
babylab-princeton,ManyBabies006,ADS,ADS5,10,1.942,3.945,noerror,NA,,,
babylab-princeton,ManyBabies006,IDS,IDS6,11,5.884,10.203,noerror,NA,,,
babylab-princeton,ManyBabies006,ADS,ADS6,12,0.455,2.461,noerror,NA,,,
babylab-princeton,ManyBabies006,ADS,ADS7,13,3.946,7.752,noerror,NA,,,
babylab-princeton,ManyBabies006,IDS,IDS7,14,8.863,13.319,error,experimentor error,,,
babylab-princeton,ManyBabies006,IDS,IDS8,15,2.504,4.561,noerror,NA,,,
babylab-princeton,ManyBabies006,ADS,ADS8,16,6.672,11.427,noerror,NA,,,
babylab-princeton,ManyBabies007,training,train1,-2,3.631,5.641,noerror,NA,,,
babylab-princeton,ManyBabies007,training,train2,-1,3.264,5.27,noerror,NA,,,
babylab-princeton,ManyBabies007,IDS,IDS5,1,6.569,8.595,error,experimentor error,,,
babylab-princeton,ManyBabies007,ADS,ADS5,2,5.461,8.576,noerror,NA,,,
babylab-princeton,ManyBabies007,ADS,ADS7,3,4.635,7.953,noerror,NA,,,
babylab-princeton,ManyBabies007,IDS,IDS7,4,13.794,18.036,noerror,NA,,,
babylab-princeton,ManyBabies007,ADS,ADS1,5,4.126,6.887,noerror,NA,,,
babylab-princeton,ManyBabies007,IDS,IDS1,6,12.727,18.029,noerror,NA,,,
babylab-princeton,ManyBabies007,ADS,ADS3,7,2.47,4.478,noerror,NA,,,
babylab-princeton,ManyBabies007,IDS,IDS3,8,5.976,9.349,noerror,NA,,,
babylab-princeton,ManyBabies007,ADS,ADS2,9,3.545,6.019,noerror,NA,,,
babylab-princeton,ManyBabies007,IDS,IDS2,10,2.648,4.663,noerror,NA,,,
babylab-princeton,ManyBabies007,IDS,IDS4,11,3.8,9.246,noerror,NA,,,
babylab-princeton,ManyBabies007,ADS,ADS4,12,5.58,9.331,noerror,NA,,,
babylab-princeton,ManyBabies007,IDS,IDS6,13,2.879,6.303,noerror,NA,,,
babylab-princeton,ManyBabies007,ADS,ADS6,14,2.703,4.711,noerror,NA,,,
babylab-princeton,ManyBabies007,IDS,IDS8,15,2.502,4.517,noerror,NA,,,
babylab-princeton,ManyBabies007,ADS,ADS8,16,4.901,8.545,noerror,NA,,,
babylab-princeton,ManyBabies008,training,train2,-2,10.26,13.597,noerror,NA,,,
babylab-princeton,ManyBabies008,training,train1,-1,9.55,11.557,noerror,NA,,,
babylab-princeton,ManyBabies008,ADS,ADS5,1,7.704,9.716,noerror,NA,,,
babylab-princeton,ManyBabies008,IDS,IDS5,2,8.136,12.042,noerror,NA,,,
babylab-princeton,ManyBabies008,IDS,IDS7,3,3.408,5.419,noerror,NA,,,
