lab;subid;trial_type;stimulus;trial_num;looking_time;total_trial_time;trial_error;trial_error_type;notes;;;;;;;;;;;;;;;;
babyling-oslo;OS_007;ADS;ADS3;7;3.03;6.31;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_007;IDS;IDS3;8;9.03;18.05;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_007;ADS;ADS2;9;5.71;14.96;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_007;IDS;IDS2;10;2.77;10.75;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_007;IDS;IDS4;11;7.79;18.05;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_007;ADS;ADS4;12;3.08;9.30;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_007;IDS;IDS6;13;3.77;13.42;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_007;ADS;ADS6;14;6.99;18.04;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_007;IDS;IDS8;15;3.36;12.04;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_007;ADS;ADS8;16;0.61;5.43;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_009;training;train1;-2;12.10;18.07;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_009;training;train2;-1;10.83;18.05;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_009;IDS;IDS1;1;13.25;18.05;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_009;ADS;ADS1;2;8.09;18.05;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_009;IDS;IDS2;3;5.75;18.08;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_009;ADS;ADS2;4;8.43;18.08;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_009;ADS;ADS3;5;8.08;18.05;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_009;IDS;IDS3;6;1.10;8.86;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_009;IDS;IDS4;7;1.76;7.30;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_009;ADS;ADS4;8;6.25;18.05;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_009;ADS;ADS5;9;2.46;7.60;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_009;IDS;IDS5;10;4.09;9.53;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_009;ADS;ADS6;11;1.58;6.54;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_009;IDS;IDS6;12;1.58;5.35;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_009;IDS;IDS7;13;0.50;3.89;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_009;ADS;ADS7;14;0.90;4.71;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_009;ADS;ADS8;15;2.53;11.43;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_009;IDS;IDS8;16;2.30;9.18;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_012;training;train2;-2;5.98;18.05;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_012;training;train1;-1;7.56;18.05;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_012;ADS;ADS5 ;1;2.83;16.02;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_012;IDS;IDS5;2;7.97;18.06;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_012;IDS;IDS7;3;0.49;6.00;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_012;ADS;ADS7;4;2.83;14.95;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_012;IDS;IDS1;5;0.43;4.52;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_012;ADS;ADS1;6;1.36;8.33;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_012;IDS;IDS3;7;0.00;4.41;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_012;ADS;ADS3;8;2.31;14.79;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_012;IDS;IDS2;9;0.00;5.31;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_012;ADS;ADS2;10;1.50;13.04;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_012;ADS;ADS4;11;1.57;16.55;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_012;IDS;IDS4;12;2.49;18.08;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_012;ADS;ADS6;13;0.66;5.10;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_012;IDS;IDS6;14;0.84;11.31;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_012;ADS;ADS8;15;0.40;5.05;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_012;IDS;IDS8;16;0.52;7.94;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_014;training;train2;-2;11.91;18.05;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_014;training;train1;-1;6.88;16.41;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_014;ADS;ADS1;1;10.17;18.04;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_014;IDS;IDS1;2;2.08;10.71;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_014;ADS;ADS2;3;4.28;17.73;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_014;IDS;IDS2;4;2.51;10.37;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_014;IDS;IDS3;5;1.04;7.97;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_014;ADS;ADS3;6;1.54;10.23;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_014;ADS;ADS4;7;1.19;12.51;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_014;IDS;IDS4;8;0.34;4.03;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_014;IDS;IDS5;9;0.25;6.98;noerror;NA;NC;;;;;;;;;;;;;;;;
